"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)"
AL062021,2021-08-14T03:00:00.000Z,Tropical Depression,Fred,22.7,-80.6,35,1013,12,280
AL062021,2021-08-14T06:00:00.000Z,Tropical Depression,Fred,22.9,-81,35,1013,12,280
AL062021,2021-08-14T09:00:00.000Z,Tropical Depression,Fred,23.3,-81.7,35,1013,13,295
AL062021,2021-08-14T12:00:00.000Z,Tropical Depression,Fred,23,-82.8,35,1013,13,295
AL062021,2021-08-14T15:00:00.000Z,Remnants Of,Fred,23.3,-83.2,35,1013,12,300
AL062021,2021-08-14T21:00:00.000Z,Remnants Of,Fred,24,-84.6,35,1012,13,300
AL062021,2021-08-15T03:00:00.000Z,Remnants Of,Fred,23.8,-84.3,35,1012,9,300
AL062021,2021-08-15T09:00:00.000Z,Remnants Of,Fred,24.4,-84.6,40,1011,8,330
AL062021,2021-08-15T12:00:00.000Z,Remnants Of,Fred,25.3,-84.6,40,1009,8,330
AL062021,2021-08-15T12:40:00.000Z,Tropical Storm,Fred,25.9,-84.7,40,1008,9,335
AL062021,2021-08-15T15:00:00.000Z,Tropical Storm,Fred,26.1,-84.9,40,1008,12,330
AL062021,2021-08-15T18:00:00.000Z,Tropical Storm,Fred,26.2,-85.2,40,1007,12,330
AL062021,2021-08-15T21:00:00.000Z,Tropical Storm,Fred,26.8,-85.3,45,1007,10,330
AL062021,2021-08-16T00:00:00.000Z,Tropical Storm,Fred,27.1,-85.7,45,1000,10,330
AL062021,2021-08-16T03:00:00.000Z,Tropical Storm,Fred,27.3,-85.9,50,999,9,330
AL062021,2021-08-16T06:00:00.000Z,Tropical Storm,Fred,27.5,-86,50,1003,6,330
AL062021,2021-08-16T09:00:00.000Z,Tropical Storm,Fred,27.9,-86,50,1002,9,355
AL062021,2021-08-16T12:00:00.000Z,Tropical Storm,Fred,28.6,-85.8,50,1002,9,360
AL062021,2021-08-16T12:30:00.000Z,Tropical Storm,Fred,28.7,-85.6,60,993,10,10
AL062021,2021-08-16T15:00:00.000Z,Tropical Storm,Fred,29.2,-85.7,60,993,10,10
AL062021,2021-08-16T18:00:00.000Z,Tropical Storm,Fred,29.4,-85.5,65,994,9,20
AL062021,2021-08-16T19:15:00.000Z,Tropical Storm,Fred,29.7,-85.4,65,994,9,20
AL062021,2021-08-16T21:00:00.000Z,Tropical Storm,Fred,29.9,-85.3,60,995,9,20
AL062021,2021-08-17T00:00:00.000Z,Tropical Storm,Fred,30.6,-85.2,50,999,10,20
AL062021,2021-08-17T03:00:00.000Z,Tropical Storm,Fred,31.2,-85.2,40,999,12,15
AL062021,2021-08-17T06:00:00.000Z,Tropical Storm,Fred,31.7,-85.2,40,1004,13,5
AL062021,2021-08-17T09:00:00.000Z,Tropical Depression,Fred,32.3,-85,35,1004,14,15
AL062021,2021-08-17T15:00:00.000Z,Tropical Depression,Fred,33.4,-84.7,30,1007,17,20
AL062021,2021-08-17T21:00:00.000Z,Tropical Depression,Fred,34.7,-83.9,25,1009,23,25
AL062021,2021-08-18T03:00:00.000Z,Tropical Depression,Fred,36.6,-82.6,30,1009,22,30
AL062021,2021-08-18T09:00:00.000Z,Tropical Depression,Fred,38.6,-81.8,25,1011,20,35
AL062021,2021-08-18T15:00:00.000Z,Post-tropical Cyclone,Fred,39.5,-80.7,25,1013,20,45
AL062021,2021-08-18T21:00:00.000Z,Post-tropical Cyclone,Fred,40.8,-79,25,1014,15,55
AL062021,2021-08-19T03:00:00.000Z,Post-tropical Cyclone,Fred,41.5,-76.9,25,1013,14,60
AL062021,2021-08-19T09:00:00.000Z,Post-tropical Cyclone,Fred,42,-76,25,1011,17,65
AL062021,2021-08-19T15:00:00.000Z,Post-tropical Cyclone,Fred,43,-74.7,25,1011,15,65
AL062021,2021-08-19T21:00:00.000Z,Post-tropical Cyclone,Fred,43,-72.7,30,1010,14,70
AL062021,2021-08-20T03:00:00.000Z,Post-tropical Cyclone,Fred,42.9,-71.8,30,1009,13,70
